Hito,Fecha,Tipo
Inauguramos las Estaciones Retiro y Aduana,12/1/2010,Estacion
Inauguramos la Estacion Derecho,12/1/2010,Estacion
Inauguramos la Estacion Plaza Roma,12/14/2010,Estacion
Inauguramos las Estaciones Plaza Italia y Parque Lezama,1/5/2011,Estacion
Inauguramos la Estacion Obelisco,1/13/2011,Estacion
Inauguramos la Estacion Congreso,1/28/2011,Estacion
Primeros 25 mil de viajes,2/20/2013,Numero
Inauguramos la Estacion Parque Las Heras,2/11/2011,Estacion
Inauguramos la Estacion Uca Puerto Madero,1/3/2011,Estacion
Inauguramos la Estacion Tribunales,4/1/2011,Estacion
Inauguramos la Estacion Plaza Vicente Lopez,4/29/2011,Estacion
Inauguramos la Estacion Once,5/30/2011,Estacion
Primeros 100 mil de viajes,5/21/2011,Numero
Inauguramos la Estacion Pacifico,6/8/2011,Estacion
Inauguramos la Estacion Virrey Cevallos,6/17/2011,Estacion
Inauguramos la Estacion Plaza Houssay,7/4/2011,Estacion
Inauguramos la Estacion Plaza De Mayo,5/8/2011,Estacion
Inauguramos la Estacion Plaza Almagro,9/1/2011,Estaciones
Inauguramos las Estaciones CMD,9/9/2011,Estacion
Inauguramos la Estacion Independencia,9/19/2011,Estacion
Inauguramos la Estacion San Martín,9/23/2011,Estacion
Primeros 370 mil viajes,12/1/2011,Numero
Llegamos a los 500 mil viajes,2/3/2012,Numero
Llegamos a los 50 mil usuarios,5/5/2012,Numero
Inauguramos la Estacion Distrito Audiovisual,7/6/2012,Estacion
Inauguramos la Estacion Parque Patricios,10/1/2012,Estacion
Inauguramos la Estacion Arenales,10/26/2012,Estacion
Inauguramos la Estacion Suipacha,11/6/2012,Estacion
"Inauguramos la Estacion Emma De La Barra y Plaza Guemes",11/27/2012,Estacion
Inauguramos la Estacion Alsina,11/12/2012,Estacion
Llegamos al millon de viajes,12/10/2012,Numero
Inauguramos la Estacion Montevideo,6/26/2013,Estacion
Inauguramos la Estacion Plaza Boedo,6/26/2013,Estacion
Inauguramos la Estacion Plaza Emilio Mitre,8/12/2013,Estacion
Inauguramos la Estacion Parque Centenario,9/3/2013,Estacion
Llegamos a los 2 millones de viajes,11/28/2013,Numero
"Alcanzamos los 2,5 millones de viajes",5/5/2014,Numero